"doc","totalwords","Headline","Year","Month","Day","NewsService","Byline"
"269","642","QUICK ACTION VOWED ON AMERASIANS","1982","October","29",NA,"COLIN CAMPBELL, Special to the New York Times"
"270","175","Deportation Sought for Man Accused in '43 Killing of Jews","1982","October","25",NA,NA
"271","149","Last Two Haitians Held in Miami Are Released: Avel Dorvilier, foreground, is","1982","October","23",NA,NA
"272","124","Two Bulgarians Jump Ship","1982","October","21",NA,NA
"273","654","NEW ASIAN ALIENS CONCERN OFFICIALS","1982","October","20",NA,NA
"274","249","International-Aid Organization Elects an Executive Director","1982","October","17",NA,NA
"275","921","AGENDA FOR BONN OUTLINED BY KOHL","1982","October","14",NA,"JAMES M. MARKHAM, Special to the New York Times"
"276","381","THE NATION IN SUMMARY;","1982","October","10",NA,NA
"277","953","U.S. SEEKS TO DEPORT 10 OTHER NAZIS","1982","October","9",NA,"FRANCIS X. CLINES, Special to the New York Times"
"278","912","U.S. TO DEPORT ARCHBISHOP ACCUSED AS A NAZI ALLY","1982","October","8",NA,"The Associated Press"
"279","787","MEXICO'S PRESIDENT-ELECT TO MEET WITH REAGAN IN SAN DIEGO TODAY","1982","October","8",NA,"ALAN RIDING, Special to the New York Times"
"280","828","PRESIDENT TO SIGN IMMIGRATION BILL","1982","October","8",NA,"ROBERT PEAR, Special to the New York Times"
"281","556","'WE SIMPLY CANNOT REMAIN A NATION WITHOUT BORDERS'","1982","October","7",NA,NA
"282","504","L.I. MAN FAILS IN A COURT BID ON NAZI LINK","1982","October","5",NA,"JOHN T. McQUISTON"
"283","695","11 CHILDREN FROM VIETNAM LAND ON THE COAST","1982","October","4",NA,"JUDITH CUMMINGS, Special to the New York Times"
"284","585","SIMPSON-MAZZOLI IMMIGRATION BILL: BACK TO THE BRACERO FIASCO?","1982","October","2",NA,NA
"285","1755","A SURGE OF IMMIGRANTS ALTERS NEW YORK'S FACE;","1982","September","27",NA,NA
"286","573","POLES WHO TOOK VESSEL TO JERSEY GRANTED ASYLUM","1982","September","25",NA,NA
"287","283","AROUND THE NATION;","1982","September","24",NA,NA
"288","649","Showing ID at the Golden Doors","1982","September","24",NA,NA
"289","552","NOTHING TOTALITARIAN ABOUT A WORKER'S ID CARD","1982","September","24",NA,NA
"290","462","NOTHING TOTALITARIAN ABOUT WORKER'S ID CARD","1982","September","24",NA,NA
"291","908","HOUSE UNIT BACKS IMMIGRATION BILL","1982","September","23",NA,"ROBERT PEAR, Special to the New York Times"
"292","847","U.S. MOVES TO PAROLE 49 HAITIANS HELD IN BROOKLYN","1982","September","23",NA,"JOSEPH P. FRIED"
"293","264","THE CITY;","1982","September","20",NA,NA
"294","695","CHANCES DIM ON PASSING NEW IMMIGRATION LAW","1982","September","20",NA,"ROBERT PEAR, Special to the New York Times"
"295","951","IMMIGRATION AGENCY'S MOVE OPPOSED","1982","September","19",NA,NA
"296","564","POLES REACH U.S. AFTER A LONG SAIL AND ASK TO STAY","1982","September","18",NA,"ROBERT D. McFADDEN"
"297","609","HOUSE PANEL PROGRESSING ON IMMIGRATION BILL","1982","September","17",NA,"ROBERT PEAR, Special to the New York Times"
"298","572","HOUSE COMMITTEE BACKS PENALTIES FOR THOSE WHO HIRE ILLEGAL ALIENS","1982","September","16",NA,"ROBERT PEAR, Special to the New York Times"
"299","563","WHAT ABOUT LEGAL ALIENS WHO WANT TO STAY","1982","September","15",NA,NA
"300","241","House Panel Takes Up;","1982","September","15",NA,NA
"301","520","SALVADORANS' BID FOR ASYLUM DENIED BY IMMIGRATION JUDGE","1982","September","10",NA,NA
"302","883","ESSAY;","1982","September","9",NA,NA
"303","1254","CONVICTIONS OF 4 IN ABSCAM CASE UPHELD BY COURT","1982","September","4",NA,"JOSEPH P. FRIED"
"304","760","HAITIAN REFUGEES NOT SHOWING UP FOR HEARINGS TO DETERMINE STATUS","1982","September","4",NA,"RICHARD J. MEISLIN, Special to the New York Times"
"305","443","DON'T SHUT COURT DOORS ON ALIENS","1982","September","3",NA,NA
"306","553","Guerrilla War on Immigration","1982","August","27",NA,NA
"307","959","I.D. PLAN OPPOSED BY ADMINISTRATION","1982","August","26",NA,"ROBERT PEAR, Special to the New York Times"
"308","642","TWO DEFECTIVE IMMIGRATION REFORM PROPOSALS","1982","August","24",NA,NA
"309","453","TWO DEFECTIVE IMMIGRATION REFORM PROPOSALS","1982","August","24",NA,NA
"310","816","IMMIGRANTS AND THE NEW BILL","1982","August","24",NA,"Gary Hart"
"311","758","Votes in Congress;","1982","August","22",NA,NA
"312","446","The Nation in Summary;","1982","August","22",NA,NA
"313","512","ANSWERS TO QUIZ","1982","August","21",NA,NA
"314","596","Immigrants, History and the House","1982","August","19",NA,NA
"315","1233","SENATE VOTES A SWEEPING REVISION OF THE NATION'S IMMIGRATION LAWS","1982","August","18",NA,"ROBERT PEAR, Special to the New York Times"
"316","168","AROUND THE NATION;","1982","August","18",NA,NA
"317","732","ILLEGAL IMMIGRANT SOUGHT IN MOTEL SLAYING OF GUARD","1982","August","17",NA,"RALPH BLUMENTHAL"
"318","1039","SOME HARD CHOICES EMERGE IN DEBATE ON ILLEGAL ALIENS","1982","August","16",NA,"ROBERT PEAR, Special to the New York Times"
"319","470","Countdown for the Caribbean","1982","August","16",NA,NA
"320","514","'OVERKILL' IN AN IMMIGRATION REFORM BILL","1982","August","15",NA,NA
"321","859","SENATE OPENS DEBATE ON IMMIGRATION","1982","August","13",NA,"ROBERT PEAR, Special to the New York Times"
"322","1002","IMMIGRATION BILL HAS PERSONAL ROOTS","1982","August","11",NA,"MARTIN TOLCHIN, Special to the New York Times"
"323","859","ILLEGAL ALIENS","1982","August","10",NA,"Alan K. Simpson"
"324","721","Turning Mean on Immigration","1982","August","9",NA,NA
"325","870","150 HAITIANS, 46 AFGHANS WAIT IN NEW YORK CENTERS FOR ASYLUM","1982","August","8",NA,NA
"326","1005","HAITIANS FREED BY U.S. JUDGE ARE IN LEGAL AND SOCIAL LIMBO","1982","August","8",NA,"RICHARD J. MEISLIN, Special to the New York Times"
"327","115","Haitian Stowaways, Seized in Florida, Are Sent Back A crewman of the Yeocomico","1982","August","4",NA,NA
"328","218","Integration And Idealism","1982","August","1",NA,NA
"329","1174","OUT OF MIAMI DETENTION, HAITIAN TESTS FREEDOM","1982","July","30",NA,"REGINALD STUART, Special to the New York Times"
"330","126","SPORTS PEOPLE;","1982","July","28",NA,NA
"331","241","SPORTS PEOPLE;","1982","July","27",NA,NA
"332","1088","HAITIANS LEAVING DETENTION IN MIAMI","1982","July","24",NA,"RICHARD J. MEISLIN, Special to the New York Times"
"333","208","AROUND THE NATION;","1982","July","23",NA,NA
"334","143","Ukrainian Arrested in Ohio","1982","July","20",NA,NA
"335","592","STUDY SEES SHIFT IN U.S. POPULATION","1982","July","19",NA,NA
"336","423","AFGHANS IN 'IMMIGRATION GULAG' DESERVE MERCY","1982","July","18",NA,NA
"337","326","RAIDS ON ALIENS RULED ILLEGAL","1982","July","16",NA,NA
"338","841","U.S. SEEKS CHANGE IN CHECKS ON VISAS","1982","July","13",NA,"DUDLEY CLENDINEN, Special to the New York Times"
"339","1032","MEXICAN HELD AS LEADER OF ALIEN SMUGGLING RING IS ARRAIGNED","1982","July","12",NA,NA
"340","365","ARGENTINA'S 'SEVERELY DILUTED NATIONAL CHARACTER'","1982","July","11",NA,NA
"341","125","AROUND THE NATION;","1982","July","10",NA,NA
"342","233","AROUND THE NATION;","1982","July","8",NA,NA
"343","218","Around the Nation;","1982","July","3",NA,NA
"344","168","AROUND THE NATION;","1982","July","1",NA,NA
"345","105","Haitian Detainee Dies","1982","June","27",NA,NA
"346","178","Around the Nation;","1982","June","26",NA,NA
"347","1069","FLEEING BEIRUT CHAOS TO SAFETY AT SEA","1982","June","25",NA,"THOMAS L. FRIEDMAN, Special to the New York Times"
"348","149","Judge to Decide on Haitians","1982","June","25",NA,NA
"349","748","'DECEITFUL NEW GAMBIT' IN HAITIAN REFUGEE POLICY","1982","June","25",NA,NA
"350","917","NEWS SUMMARY;","1982","June","25",NA,NA
"351","512","BIG RING SMUGGLING ALIENS REPORTED BROKEN","1982","June","24",NA,NA
"352","302","The Nation in Summary;","1982","June","20",NA,NA
"353","222","Judge Ends Immigration Rule","1982","June","18",NA,NA
"354","448","BOGUS SOCIAL SECURITY CARDS WERE TOO NEAT, SENATORS TOLD","1982","June","17",NA,NA
"355","530","A Little Mercy for the Haitians","1982","June","17",NA,NA
"356","529","TORONTO MAYOR QUERIED ON ENTRY","1982","June","17",NA,"MICHAEL ORESKES"
"357","1039","COURT'S RULING ON ILLEGAL ALIENS: A DOUBTFUL PRECEDENT;","1982","June","17",NA,NA
"358","929","TEXAS GOVERNOR SAYS COMPLIANCE WITH COURT RULING IS NO PROBLEM","1982","June","16",NA,"WAYNE KING, Special to the New York Times"
"359","1044","U.S. ANNOUNCES NEW POLICY FOR PAROLE OF SOME HAITIANS","1982","June","15",NA,"GREGORY JAYNES, Special to the New York Times"
"360","175","AROUND THE NATION;","1982","June","14",NA,NA
"361","284","U.S. Seeks to Deport an Alien Accused of Nazi Unit Service","1982","June","13",NA,NA
"362","296","Aliens Found Challenging U.S.","1982","June","13",NA,NA
"363","202","SECTION: Section 11; New Jersey; Page 28, Column 3; New Jersey Weekly Desk","1982","June","13",NA,NA
"364","445","Alien Ideas Need No Quarantine","1982","June","11",NA,NA
"365","194","THE CITY;","1982","June","10",NA,NA
"366","1523","ABOVE ALL ELSE, HE IS 'THE PRESIDENT'S LAWYER'","1982","June","8",NA,"JO THOMAS, Special to the New York Times"
"367","174","Around the World;","1982","June","6",NA,NA
"368","1223","REPRISE ON McCARRAN ACT;","1982","June","4",NA,NA
"369","769","50 IN PEACE GROUP TO GET VISAS FOR SESSION AT U.N.","1982","June","4",NA,"PETER KIHSS"
"370","412","HAITIANS SINGLED OUT FOR HARSH TREATMENT","1982","June","2",NA,NA
"371","2029","CAN THE NUMBERS OF ILLEGAL ALIENS BE CONTROLLED HUMANELY?","1982","May","30",NA,NA
"372","580","OVERHAUL OF IMMIGRATION LAW GAINS IN SENATE","1982","May","29",NA,NA
"373","634","PITFALLS IN LEGISLATION TO MODERNIZE AMERICAN IMMIGRATION LAW","1982","May","26",NA,NA
"374","476","BIRTH RATE HIGHEST FOR LATINS IN U.S.","1982","May","26",NA,NA
"375","199","THE CITY;","1982","May","22",NA,NA
"376","578","A MANDATE ON ALIENS THAT IMMIGRATION AUTHORITIES MUST OBEY","1982","May","21",NA,NA
"377","751","U.S. JUDGE IS ASKED TO UPHOLD HAITIANS' DETENTION","1982","May","19",NA,"GREGORY JAYNES, Special to the New York Times"
"378","373","CLOSE-UP OF THE ILLEGAL IMMIGRATION ISSUE","1982","May","16",NA,NA
"379","980","JUDGE OVERTURNS ABSCAM CONVICTION OF EX-LEGISLATOR","1982","May","15",NA,"ROBERT PEAR, Special to the New York Times"
"380","774","'OUTCAST' NEEDS CONGRESS AID TO STAY IN U.S.","1982","May","10",NA,NA
"381","216","BRIEFING","1982","May","8",NA,"Francis, X. Clines and Lynn Rosellini"
"382","875","U.S. USING TOUGHER POLICY ON ASYLUM FOR AFGHANS","1982","May","7",NA,"PETER KIHSS"
"383","1139","ALIEN RAIDS OPENED UP JOBS, AIDE SAYS","1982","May","7",NA,"JO THOMAS, Special to the New York Times"
"384","560","U.S. AUTHORITIES DETAIN AFGHANS AT BROOKLYN SITE","1982","May","5",NA,"SUSAN CHIRA"
"385","971","ALIENS SEIZED BY U.S. REPORTED BACK AT WORK","1982","May","4",NA,"RONALD SULLIVAN"
"386","753","U.S. ALLOWS REVIEW OF 2 HAITIAN CAMPS","1982","May","4",NA,"ROBERT PEAR, Special to the New York Times"
"387","492","CIVIL LIBERTIES UNION ASSAILS RAIDS FOR MAKING 'SCAPEGOATS' OF;","1982","May","3",NA,NA
"388","443","The Nation in Summary;","1982","May","2",NA,NA
"389","771","JUDGE ORDERS IMMIGRATION AGENTS NOT TO ABUSE SALVADORAN REFUGEES","1982","May","1",NA,NA
"390","829","AMERICA'S 'INVISIBLE' CHINESE","1982","May","1",NA,"Diana Fong"
"391","198","THE CITY;","1982","May","1",NA,NA
"392","611","ROUNDUP OF ALIENS MEETING PROBLEMS","1982","April","30",NA,"The Associated Press"
"393","125","Aliens Crackdown Pressed","1982","April","29",NA,"United Press International"
"394","220","AROUND THE NATION;","1982","April","28",NA,NA
"395","988","NEARLY 1,000 ARE SEIZED IN A;","1982","April","27",NA,NA
"396","237","Key West, in Protest On Aliens, 'Secedes'","1982","April","25",NA,NA
"397","1512","CENSUS FINS THAT NEW YORK'S POT IS STILL MELTING","1982","April","25",NA,"JOHN HERBERS, Special to the New York Times"
"398","1429","MYTHS, HONOR AND MACHISMO AT STAKE IN THE FALKLANDS","1982","April","25",NA,"EDWARD SCHUMACHER"
"399","1349","U.S. IS REMAINING ADAMANT AS DETAINED HAITIANS PRESS APPEALS FOR ASYLUM","1982","April","24",NA,"GREGORY JAYNES, Special to the New York Times"
"400","665","IMMIGRATION OFFFICIALS TO VISIT JOB SITES TO CHECK ON ALIENS","1982","April","24",NA,"ROBERT PEAR, Special to the New York Times"
"401","731","Release the Haitians","1982","April","19",NA,NA
"402","415","INVITATION TO GREATER ILLEGAL IMMIGRATION","1982","April","13",NA,NA
"403","189","Around the World;","1982","April","11",NA,NA
"404","642","PROMINENT IMMIGRANTS HONORED AT A LUNCHEON","1982","April","7",NA,"LESLIE BENNETTS"
"405","270","AROUND THE NATION;","1982","April","6",NA,NA
"406","451","IN BRITAIN, THE SPIRIT OF COLONIALISM LINGERS","1982","April","5",NA,NA
"407","973","RACE FOR GOVERNOR OF HAWAII THREATENS DEMOCRATS","1982","April","2",NA,"WALLACE TURNER, Special to the New York Times"
"408","450","ILLEGAL-ENTRY CURBS THAT HURT CITIZENS","1982","March","30",NA,NA
"409","869","PRIEST FIGHTS ON BEHALF OF HALF-AMERICAN CHILDREN","1982","March","23",NA,"BERNARD WEINRAUB, Special to the New York Times"
"410","304","The Nation;","1982","March","21",NA,NA
"411","911","ABSCAM APPEAL DISMISSED; RIGHTS FOUND NOT VIOLATED","1982","March","19",NA,"ARNOLD H. LUBASCH"
"412","913","ABSCAM APPEAL DISMISSED; RIGHTS FOUND NOT VIOLATED","1982","March","19",NA,"ARNOLD H. LUBASCH"
"413","492","Not Nativist, Not Racist, Not Mean","1982","March","18",NA,NA
"414","747","BIPARTISAN LEGISLTION INTRODCED TO RESTRUCTURE IMMIGRATION LAWS","1982","March","18",NA,"ROBERT PEAR, Special to the New York Times"
"415","767","U.S. AND NICARAGUA DIFFER ON TALE OF THE RECANTER","1982","March","17",NA,"BARBARA CROSSETTE, Special to the New York Times"
"416","343","Trial Begins in Miami On Haitian Detention","1982","March","16",NA,NA
"417","1183","Correction Appended","1982","March","16",NA,NA
"418","256","B. Meredith Langstaff Dead; Lawyer and Brooklyn Leader","1982","March","12",NA,NA
"419","519","Holding Haitians Hostage","1982","March","10",NA,NA
"420","720","JUDGE, CITING BIAS, ORDERS RELEASE OF EIGHT HAITIANS","1982","March","6",NA,"ARNOLD H. LUBASCH"
"421","370","I.R.A. SUSPECT ESCAPES IN FRANCE","1982","March","5",NA,NA
"422","350","SPORTS PEOPLE;","1982","March","5",NA,NA
"423","196","SECTION: Section A; Page 4, Column 4; Foreign Desk","1982","March","2",NA,NA
"424","1329","U.S. SAYS IT HAS BROKEN AN I.R.A. RING THAT CROSSED FROM CANADA TO BUY WEAPONS","1982","March","1",NA,"RICHARD D. LYONS, Special to the New York Times"
"425","754","83 HAITIANS IN BROOKLYN STILL FIGHT FOR ASYLUM","1982","February","28",NA,"LAURIE JOHNSTON"
"426","755","NEW PROPOSAL ON ALIENS WOULD FINE EMPLOYERS","1982","February","27",NA,"PAUL L. MONTGOMERY"
"427","159","THE REGION;","1982","February","24",NA,NA
"428","159","Immigration Chief Sworn In","1982","February","23",NA,NA
"429","696","NEW CURBS ON ENTRY INTO U.S. ANGER FILIPINOS","1982","February","21",NA,NA
"430","1538","A STATE OF LIMBO RULES THE LIVES OF POLISH ALIENS","1982","February","21",NA,NA
"431","1033","JUDGE POSTPONES DECISION ON PLEA OF AFGHANS DETAINED IN CALIFORNIA","1982","February","20",NA,"WALLACE TURNER, Special to the New York Times"
"432","180","3 I.R.A. Supporters Deported To Canada by U.S. Officials","1982","February","20",NA,NA
"433","767","BRIEFING","1982","February","18",NA,"Francis X. Clines and Bernard Weinraub"
"434","582","WHAT AN ETHIOPIAN MUST DO TO PROVE DESERVING OF ASYLUM","1982","February","15",NA,NA
"435","1781","WHO ARE THE TRUE MODERNISTS?","1982","February","14",NA,"LEO BERSANI; Leo Bersani is chairman of the French department at the"
"436","216","Catholic Migrants","1982","February","14",NA,NA
"437","232","Buffalo Hearing Put Off for 5 Suspected of Helping I. R. A.","1982","February","13",NA,NA
"438","768","TWO VISA DISPUTES ANNOY AND INTRIGUE INDIA","1982","February","11",NA,"MICHAEL T. KAUFMAN, Special to the New York Times"
"439","913","FOREIGN AFFAIRS;","1982","February","11",NA,NA
"440","232","AROUND THE WORLD;","1982","February","9",NA,NA
"441","465","3 ARE INVESTIGATED IN THEFT OF EXAMS","1982","February","3",NA,"WAYNE KING, Special to the New York Times"
"442","465","PERILED ETHIOPIANS CAN STILL STAY HERE","1982","February","1",NA,NA
"443","232","U.S. Ends Registration In January for Aliens","1982","January","31",NA,NA
"444","735","EMPLOYERS DEFENDED IN COAST 'SLAVERY' CASE","1982","January","31",NA,"JUDITH CUMMINGS, Special to the New York Times"
"445","1259","HAITIANS ATTRACT SYMPATHETIC NOTICE","1982","January","31",NA,"SAMUEL G. FREEDMAN"
"446","226","Around the World;","1982","January","29",NA,NA
"447","988","U.S. SAYS COAST RING IMPORTED 30 ALIENS TO WORK IN 'SLAVERY'","1982","January","28",NA,"JUDITH CUMMINGS, Speci al to the New York Times"
"448","354","2 I.R.A. SUPPORTERS ORDERED BY A JUDGE TO GET OUT OF U.S.","1982","January","28",NA,NA
"449","512","DOUBLED QUOTA FROM MEXICO AND CANADA SOUGHT","1982","January","26",NA,NA
"450","343","Index;","1982","January","24",NA,NA
"451","768","IMMIGRATION AGENCY CURBED IN SEARCH ES FOR ALIENS","1982","January","24",NA,"NATHANIEL SHEPPARD Jr., Special to the New York Times"
"452","705","2 I.R.A. SUPPORTERS RRMAIN IN CUSTODY","1982","January","23",NA,NA
"453","267","POLICE AIDE ON COAST SAYS SPIES MAY POSE AS JEWISH EMIGR ES","1982","January","23",NA,NA
"454","662","2 I.R.A. LEADERS ARRESTED WHILE TRYING TO ENTER U.S. ILLEGALLY","1982","January","22",NA,"LES LEDBETTER"
"455","1161","2 EXILE COMMUNITIES PROTEST IN MIAMI","1982","January","19",NA,"GREGORY JAYNES, Special to the New York Times"
"456","876","BRIEFING","1982","January","18",NA,"Francis X. Clines and Bernard Weinraub"
"457","200","Around the Nation;","1982","January","17",NA,NA
"458","199","Around the Nation;","1982","January","16",NA,NA
"459","558","EXILED SOUTH AFRICAN ALLOWED TO SEEK ASYLUM","1982","January","15",NA,NA
"460","1033","BLACK POET, AN EXILE FOR 10 YEARS, BATTLES U.S. DEPORTATION TO AFRICA","1982","January","14",NA,"DUDLEY CLENDINEN, Special to the New York Times"
"461","885","Briefing","1982","January","12",NA,"Francis X. Clines and Bernard Weinraub"
"462","767","VISA DISPUTE IMPERILS U.S. MEXICO TIES","1982","January","11",NA,"ALAN RIDING, Special to the New York Times"
"463","370","Israel Immigration Unit Curtails Vienna Efforts","1982","January","7",NA,NA
"464","121","3 Poles Jump Ship in Canada","1982","January","7",NA,NA
"465","111","Foreign Worker Ban","1982","January","6",NA,NA
"466","1423","IT'S TIME FOR IMMIGRATION LAW REFORM--OR IS IT?","1982","January","3",NA,"ROBERT PEAR"
"467","111","3 Poles Defect in Canada","1982","January","1",NA,NA
"468","1229","FLASH FIRES OF RUMOR KEEP HAITIAN CAMP ON EDGE","1982","January","1",NA,"GREGORY JAYNES, Special to the New York Times"
"469","29","December 24, 1983, Saturday, Late City Final Edition",NA,"The","New",NA,NA
"470","20","December 20, 1983, Tuesday, Late City Final Edition",NA,"The","New",NA,NA
"471","22","December 18, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"472","27","December 18, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"473","23","December 18, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"474","23","December 17, 1983, Saturday, Late City Final Edition",NA,"The","New",NA,NA
"475","22","December 13, 1983, Tuesday, Late City Final Edition",NA,"The","New",NA,NA
"476","21","December 11, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"477","27","December 7, 1983, Wednesday, Late City Final Edition",NA,"The","New",NA,NA
"478","21","December 6, 1983, Tuesday, Late City Final Edition",NA,"The","New",NA,NA
"479","23","December 4, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"480","19","December 4, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"481","24","December 1, 1983, Thursday, Late City Final Edition",NA,"The","New",NA,NA
"482","24","November 30, 1983, Wednesday, Late City Final Edition",NA,"The","New",NA,NA
"483","29","November 29, 1983, Tuesday, Late City Final Edition",NA,"The","New",NA,NA
"484","23","November 27, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"485","27","November 26, 1983, Saturday, Late City Final Edition",NA,"The","New",NA,NA
"486","26","November 23, 1983, Wednesday, Late City Final Edition",NA,"The","New",NA,NA
"487","25","November 20, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"488","25","November 19, 1983, Saturday, Late City Final Edition",NA,"The","New",NA,NA
"489","27","November 19, 1983, Saturday, Late City Final Edition",NA,"The","New",NA,NA
"490","22","November 15, 1983, Tuesday, Late City Final Edition",NA,"The","New",NA,NA
"491","26","November 7, 1983, Monday, Late City Final Edition",NA,"The","New",NA,NA
"492","24","November 6, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"493","23","November 6, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"494","23","November 6, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"495","24","November 5, 1983, Saturday, Late City Final Edition",NA,"The","New",NA,NA
"496","16","November 4, 1983, Friday, Late City Final Edition",NA,"The","New",NA,NA
"497","24","November 2, 1983, Wednesday, Late City Final Edition",NA,"The","New",NA,NA
"498","28","October 28, 1983, Friday, Late City Final Edition",NA,"The","New",NA,NA
"499","26","October 24, 1983, Monday, Late City Final Edition",NA,"The","New",NA,NA
"500","27","October 23, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"501","21","October 19, 1983, Wednesday, Late City Final Edition",NA,"The","New",NA,NA
"502","25","October 18, 1983, Tuesday, Late City Final Edition",NA,"The","New",NA,NA
"503","24","October 18, 1983, Tuesday, Late City Final Edition",NA,"The","New",NA,NA
"504","20","October 12, 1983, Wednesday, Late City Final Edition",NA,"The","New",NA,NA
"505","18","October 12, 1983, Wednesday, Late City Final Edition",NA,"The","New",NA,NA
"506","21","October 9, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"507","21","October 9, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"508","24","October 9, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"509","25","October 8, 1983, Saturday, Late City Final Edition",NA,"The","New",NA,NA
"510","20","October 6, 1983, Thursday, Late City Final Edition",NA,"The","New",NA,NA
"511","26","October 5, 1983, Wednesday, Late City Final Edition",NA,"The","New",NA,NA
"512","16","October 5, 1983, Wednesday, Late City Final Edition",NA,"The","New",NA,NA
"513","24","October 2, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"514","27","September 27, 1983, Tuesday, Late City Final Edition",NA,"The","New",NA,NA
"515","21","September 27, 1983, Tuesday, Late City Final Edition",NA,"The","New",NA,NA
"516","25","September 26, 1983, Monday, Late City Final Edition",NA,"The","New",NA,NA
"517","22","September 25, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"518","63","September 21, 1983, Wednesday, Late City Final Edition",NA,"The","New",NA,NA
"519","24","September 20, 1983, Tuesday, Late City Final Edition",NA,"The","New",NA,NA
"520","21","September 18, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"521","26","September 18, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"522","23","September 11, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"523","24","September 11, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"524","27","September 11, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"525","27","September 9, 1983, Friday, Late City Final Edition",NA,"The","New",NA,NA
"526","26","September 8, 1983, Thursday, Late City Final Edition",NA,"The","New",NA,NA
"527","24","September 7, 1983, Wednesday, Late City Final Edition",NA,"The","New",NA,NA
"528","28","September 6, 1983, Tuesday, Late City Final Edition",NA,"The","New",NA,NA
"529","24","September 3, 1983, Saturday, Late City Final Edition",NA,"The","New",NA,NA
"530","26","September 1, 1983, Thursday, Late City Final Edition",NA,"The","New",NA,NA
"531","21","August 30, 1983, Tuesday, Late City Final Edition",NA,"The","New",NA,NA
"532","27","August 26, 1983, Friday, Late City Final Edition",NA,"The","New",NA,NA
"533","24","August 23, 1983, Tuesday, Late City Final Edition",NA,"The","New",NA,NA
"534","23","August 21, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"535","21","August 20, 1983, Saturday, Late City Final Edition",NA,"The","New",NA,NA
"536","24","August 20, 1983, Saturday, Late City Final Edition",NA,"The","New",NA,NA
"537","23","August 13, 1983, Saturday, Late City Final Edition",NA,"The","New",NA,NA
"538","25","August 13, 1983, Saturday, Late City Final Edition",NA,"The","New",NA,NA
"539","25","August 5, 1983, Friday, Late City Final Edition",NA,"The","New",NA,NA
"540","24","August 1, 1983, Monday, Late City Final Edition",NA,"The","New",NA,NA
"541","21","July 31, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"542","24","July 31, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"543","22","July 31, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"544","20","July 20, 1983, Wednesday, Late City Final Edition",NA,"The","New",NA,NA
"545","20","July 19, 1983, Tuesday, Late City Final Edition",NA,"The","New",NA,NA
"546","27","July 18, 1983, Monday, Late City Final Edition",NA,"The","New",NA,NA
"547","21","July 17, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"548","26","July 17, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"549","25","July 16, 1983, Saturday, Late City Final Edition",NA,"The","New",NA,NA
"550","28","July 16, 1983, Saturday, Late City Final Edition",NA,"The","New",NA,NA
"551","26","July 8, 1983, Friday, Late City Final Edition",NA,"The","New",NA,NA
"552","28","July 4, 1983, Monday, Late City Final Edition",NA,"The","New",NA,NA
"553","22","July 3, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"554","26","June 29, 1983, Wednesday, Late City Final Edition",NA,"The","New",NA,NA
"555","24","June 28, 1983, Tuesday, Late City Final Edition",NA,"The","New",NA,NA
"556","29","June 28, 1983, Tuesday, Late City Final Edition",NA,"The","New",NA,NA
"557","24","June 28, 1983, Tuesday, Late City Final Edition",NA,"The","New",NA,NA
"558","25","June 24, 1983, Friday, Late City Final Edition",NA,"The","New",NA,NA
"559","19","June 20, 1983, Monday, Late City Final Edition",NA,"The","New",NA,NA
"560","23","June 12, 1983, Sunday, Late City Final Edition",NA,"The","New",NA,NA
"561","24","June 10, 1983, Friday, Late City Final Edition",NA,"The","New",NA,NA
"562","26","June 9, 1983, Thursday, Late City Final Edition",NA,"The","New",NA,NA
"563","23","June 9, 1983, Thursday, Late City Final Edition",NA,"The","New",NA,NA
